Date,Open,High,Low,Close,Total Trade Quantity
2014-03-27,30.6,30.6,30.1,30.15,119923.0
2014-03-28,30.5,30.75,30.2,30.5,98197.0
2014-03-31,30.75,32.35,30.4,31.15,150009.0
2014-04-01,31.8,31.8,30.75,30.85,76530.0
2014-04-02,31.5,33.1,30.75,31.45,175142.0
2014-04-03,31.5,32.0,30.6,31.6,133125.0
2014-04-04,31.0,31.9,30.45,31.35,218507.0
2014-04-07,31.4,32.0,31.0,31.2,67153.0
2014-04-09,31.6,32.3,31.55,31.65,66578.0
2014-04-10,31.75,32.0,31.0,31.8,59139.0
2014-04-11,31.6,31.7,31.1,31.15,75816.0
2014-04-15,31.25,31.75,30.6,30.75,77661.0
2014-04-16,30.9,31.4,30.45,30.5,304365.0
2014-04-17,30.55,32.0,30.55,31.45,88005.0
2014-04-21,31.7,32.0,31.3,31.85,156380.0
2014-04-22,31.9,32.0,31.55,31.85,94809.0
2014-04-23,31.8,36.4,31.7,33.65,490250.0
2014-04-25,33.8,37.4,32.0,36.05,327685.0
2014-04-28,37.0,37.65,35.55,36.45,148430.0
2014-04-29,37.3,37.45,34.2,34.9,81139.0
2014-04-30,35.9,35.9,32.7,33.6,73705.0
2014-05-02,33.1,34.5,33.0,33.25,58616.0
2014-05-05,33.5,34.0,32.55,32.8,58164.0
2014-05-06,33.5,33.75,32.75,33.0,44549.0
2014-05-07,33.1,33.5,32.6,32.85,38497.0
2014-05-08,33.1,33.35,32.55,32.85,97951.0
2014-05-09,32.5,33.45,32.25,32.9,99603.0
2014-05-12,33.3,33.45,32.55,32.8,144198.0
2014-05-13,33.4,33.4,32.5,32.85,89972.0
2014-05-14,33.4,35.6,32.65,34.3,125856.0
2014-05-15,35.0,35.0,32.5,32.85,103596.0
2014-05-16,34.45,34.45,32.5,32.9,87059.0
2014-05-19,32.6,35.45,32.6,34.3,107751.0
2014-05-20,34.5,35.45,33.5,34.95,89320.0
2014-05-21,36.0,36.2,34.0,35.75,106401.0
2014-05-22,36.0,37.9,35.6,36.95,181462.0
2014-05-23,38.35,38.35,36.1,37.35,91009.0
2014-05-26,38.0,38.0,34.55,34.95,83279.0
2014-05-27,34.7,34.8,33.3,33.7,89227.0
2014-05-28,35.0,35.0,34.0,34.5,52160.0
2014-05-29,35.55,35.6,33.4,34.1,87778.0
2014-05-30,34.9,34.9,33.05,33.95,113049.0
2014-06-02,33.0,34.4,33.0,33.75,29888.0
2014-06-03,34.5,36.8,33.4,36.3,168481.0
2014-06-04,36.85,38.1,36.0,36.4,80799.0
2014-06-05,37.4,38.5,36.0,37.55,178300.0
2014-06-06,38.0,39.5,36.7,37.2,123673.0
2014-06-09,38.6,38.7,37.2,37.45,81596.0
2014-06-10,37.9,38.0,36.35,36.75,117055.0
2014-06-11,36.75,37.8,35.4,35.9,73931.0
2014-06-12,35.9,37.8,34.4,36.1,105368.0
2014-06-13,35.15,36.45,34.25,34.5,81821.0
2014-06-16,34.2,36.9,34.2,34.85,57837.0
2014-06-17,34.45,35.6,34.1,35.0,81963.0
2014-06-18,35.5,35.8,34.3,34.65,84917.0
2014-06-19,35.4,35.4,34.5,34.8,81135.0
2014-06-20,34.55,35.0,34.4,34.85,100076.0
2014-06-23,35.25,35.25,34.0,34.5,73479.0
2014-06-24,34.15,34.85,33.7,34.15,70568.0
2014-06-25,34.6,35.9,33.75,35.2,107660.0
2014-06-26,35.2,42.0,35.2,36.05,108069.0
2014-06-27,37.0,37.8,35.25,36.9,100653.0
2014-06-30,36.85,36.85,35.1,36.3,80306.0
2014-07-01,36.5,36.95,35.45,35.95,115064.0
2014-07-02,36.1,36.9,36.1,36.45,55501.0
2014-07-03,36.9,36.9,35.2,35.35,14082.0
2014-07-04,35.3,35.8,35.0,35.2,77052.0
2014-07-07,36.25,36.5,34.1,34.55,105834.0
2014-07-08,35.25,35.25,34.05,34.05,75842.0
2014-07-09,33.9,34.7,33.0,33.65,90840.0
2014-07-10,34.4,34.45,33.0,33.55,77560.0
2014-07-11,34.2,34.2,32.8,33.15,92784.0
2014-07-14,33.1,34.3,32.7,32.85,91053.0
2014-07-15,33.9,33.9,32.7,33.0,106244.0
2014-07-16,33.2,33.85,32.8,33.15,65338.0
2014-07-17,33.5,33.7,32.95,33.1,101985.0
2014-07-18,32.8,33.45,32.75,33.05,81976.0
2014-07-21,33.2,33.3,32.85,32.95,64896.0
2014-07-22,33.1,36.35,32.85,35.1,138561.0
2014-07-23,34.5,34.75,33.25,33.65,37431.0
2014-07-24,33.5,35.4,32.9,33.05,87920.0
2014-07-25,33.05,33.6,32.5,32.75,82886.0
2014-07-28,33.0,33.2,32.0,32.45,47305.0
2014-07-30,32.5,32.6,31.15,31.35,86912.0
2014-07-31,32.5,32.5,31.25,31.55,68827.0
2014-08-01,31.6,32.7,30.8,31.25,74212.0
2014-08-04,31.9,31.95,31.0,31.5,67940.0
2014-08-05,31.85,31.9,31.2,31.5,99412.0
2014-08-06,31.5,31.9,31.05,31.15,77338.0
2014-08-07,31.3,31.9,31.0,31.1,96285.0
2014-08-08,31.0,31.55,30.95,31.1,50441.0
2014-08-11,31.25,32.0,31.0,31.45,84565.0
